geoid,county,name,lat,lon,dist_to_raleigh_mi,dist_to_durham_mi,dist_to_chapelhill_mi,dominant_city,pop_density,suburb_type
37183052002,Census Tract 520.02; Wake County; North Carolina,Census Tract 520.02; Wake County; North Carolina,35.76690030520138,-78.59750565962693,2.4441811916774494,23.028959998110246,27.588016543422132,Raleigh,2536.344740733623,Inner-Ring Suburb
37183053507,Census Tract 535.07; Wake County; North Carolina,Census Tract 535.07; Wake County; North Carolina,35.77929153492315,-78.79033287618049,8.527630508666656,16.025164854241837,17.511620901698215,Raleigh,2201.7154631281533,General Suburb
37183054012,Census Tract 540.12; Wake County; North Carolina,Census Tract 540.12; Wake County; North Carolina,35.876632830990125,-78.60964315183044,6.892545463598251,18.0852527962019,25.09981358341875,Raleigh,1253.0891200824801,General Suburb
37183050100,Census Tract 501; Wake County; North Carolina,Census Tract 501; Wake County; North Carolina,35.78070441474282,-78.63929158467238,0.09780950308633274,20.685396089458624,25.058986591512888,Raleigh,4263.597542643258,Inner-Ring Suburb
37183052505,Census Tract 525.05; Wake County; North Carolina,Census Tract 525.05; Wake County; North Carolina,35.847441468308396,-78.67206716065435,5.0569213781709745,16.22361814275508,21.957503120225304,Raleigh,2324.4909172664557,Inner-Ring Suburb
37183053419,Census Tract 534.19; Wake County; North Carolina,Census Tract 534.19; Wake County; North Carolina,35.73429699792494,-78.81650456290645,10.476008621306557,18.523218199332177,18.234929578531368,Raleigh,1345.7039853518324,General Suburb
37183053408,Census Tract 534.08; Wake County; North Carolina,Census Tract 534.08; Wake County; North Carolina,35.78098653153235,-78.85893140028635,12.373039543113435,14.884395832631746,14.318447933547278,Raleigh,2458.8076431646423,General Suburb
37135011800,Census Tract 118; Orange County; North Carolina,Census Tract 118; Orange County; North Carolina,35.93550702085475,-79.06566320061148,26.249426469747405,10.179303191505296,1.6370876412051474,Chapel Hill,1001.2814393489879,General Suburb
37063002200,Census Tract 22; Durham County; North Carolina,Census Tract 22; Durham County; North Carolina,35.999340961825375,-78.90182323278789,21.172351848534348,0.41066304945425397,10.468301710428117,Durham,2787.9134897976196,Inner-Ring Suburb
37063002025,Census Tract 20.25; Durham County; North Carolina,Census Tract 20.25; Durham County; North Carolina,35.929781271896076,-78.90569173154483,18.222597627327055,4.4547806402062005,8.476833469300832,Durham,1778.979260130576,General Suburb
37183053113,Census Tract 531.13; Wake County; North Carolina,Census Tract 531.13; Wake County; North Carolina,35.56839316870611,-78.82109691913588,17.842038373052805,29.72577872270494,27.218074147679385,Raleigh,920.5564326208006,General Suburb
37183053612,Census Tract 536.12; Wake County; North Carolina,Census Tract 536.12; Wake County; North Carolina,35.83321032881128,-78.83409764208025,11.585171079021812,11.681159273650081,13.587365358372582,Raleigh,2124.3112510692035,General Suburb
37183054117,Census Tract 541.17; Wake County; North Carolina,Census Tract 541.17; Wake County; North Carolina,35.84006042239091,-78.55994470436808,6.056190351920603,21.730834676782894,28.21666709400743,Raleigh,3031.015996232218,Inner-Ring Suburb
37183053728,Census Tract 537.28; Wake County; North Carolina,Census Tract 537.28; Wake County; North Carolina,35.86193941831727,-78.71940047294515,7.284322241156544,13.556442671995216,19.160916952185218,Raleigh,3755.2114698334403,General Suburb
37063001505,Census Tract 15.05; Durham County; North Carolina,Census Tract 15.05; Durham County; North Carolina,36.01189608300036,-78.94058544234554,23.325101807189252,2.6526257711334673,9.381797546145146,Durham,5107.466085598332,Inner-Ring Suburb
37183052307,Census Tract 523.07; Wake County; North Carolina,Census Tract 523.07; Wake County; North Carolina,35.75992140013353,-78.70316191929274,3.887333789560477,19.52671757636255,22.412443944639065,Raleigh,2713.853075388054,Inner-Ring Suburb
37135011400,Census Tract 114; Orange County; North Carolina,Census Tract 114; Orange County; North Carolina,35.92526819620564,-79.04712030964085,25.014518294833174,9.567919099407577,0.9649632297628533,Chapel Hill,1944.4323554295893,General Suburb
37183053525,Census Tract 535.25; Wake County; North Carolina,Census Tract 535.25; Wake County; North Carolina,35.77926414179787,-78.8171240234501,10.029373810410746,15.522016812530218,16.25809241733231,Raleigh,2346.2698475986135,General Suburb
37183050600,Census Tract 506; Wake County; North Carolina,Census Tract 506; Wake County; North Carolina,35.78501405028941,-78.621019005262,1.0331241712443713,21.21143519208775,25.910403205896806,Raleigh,3453.7689850642,Inner-Ring Suburb
37183053714,Census Tract 537.14; Wake County; North Carolina,Census Tract 537.14; Wake County; North Carolina,35.87371042767497,-78.6862507321964,7.037558398694177,14.4984694775988,20.86400552756882,Raleigh,2493.5824383569593,General Suburb
37183050400,Census Tract 504; Wake County; North Carolina,Census Tract 504; Wake County; North Carolina,35.795901618778565,-78.63552482093937,1.1362705094490797,20.10381018458882,24.89198446806453,Raleigh,1746.6195915987882,General Suburb
37183050800,Census Tract 508; Wake County; North Carolina,Census Tract 508; Wake County; North Carolina,35.76417527796042,-78.62485668828764,1.3020517472733277,22.06832650746939,26.24230866323132,Raleigh,2840.7201144612377,Inner-Ring Suburb
37063001711,Census Tract 17.11; Durham County; North Carolina,Census Tract 17.11; Durham County; North Carolina,36.05892734781081,-78.92956221681055,25.263980494995128,4.808121830564884,12.295980215853113,Durham,2020.1562595024927,Inner-Ring Suburb
37063001400,Census Tract 14; Durham County; North Carolina,Census Tract 14; Durham County; North Carolina,35.97659412639071,-78.88583771423295,19.428390310845636,1.3983657528171627,10.467622825108348,Durham,2666.1707493604576,Inner-Ring Suburb
